# extracted from cty_wt_mod.dat on Sat Jan 31 07:33:02 2026Z
# prefix     lat+N   lng+E  DXCC
3K9N         38.50  106.25  318
3K9O         38.50  106.25  318
3K9P         38.50  106.25  318
3K9Q         38.50  106.25  318
3K9R         38.50  106.25  318
3K9S         36.57  101.67  318
3K9T         36.57  101.67  318
3K9U         36.57  101.67  318
3K9V         36.57  101.67  318
3K9W         36.57  101.67  318
3K9X         36.57  101.67  318
3L           36.00  102.00  318
3L0A         43.75   87.75  318
3L0B         43.75   87.75  318
3L0C         43.75   87.75  318
3L0D         43.75   87.75  318
3L0E         43.75   87.75  318
3L0F         43.75   87.75  318
3L0G         29.42   90.97  318
3L0H         29.42   90.97  318
3L0I         29.42   90.97  318
3L0J         29.42   90.97  318
3L0K         29.42   90.97  318
3L0L         29.42   90.97  318
3L1          39.93  116.40  318
3L2A         45.80  126.67  318
3L2B         45.80  126.67  318
3L2C         45.80  126.67  318
3L2D         45.80  126.67  318
3L2E         45.80  126.67  318
3L2F         45.80  126.67  318
